Genotype,W2_Control,W2_Drought,W3_Control,W3_Drought,W4_Control,W4_Drought,W5_Control,W5_Drought,cum_W2_Control,cum_W2_Drought,cum_W3_Control,cum_W3_Drought,cum_W4_Control,cum_W4_Drought,cum_W5_Control,cum_W5_Drought
DG_F3_077,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.018531602906782248,0.07988227897485829,0.09984330386155299,0.009297234678032723,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.026728580353692848,0.11408343194429646,0.07571740858504449,0.032159688555987505,0.04282567729982558
DG_F3_081,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.0832247347289835,0.022980607659892367,-0.13835920738865456,-0.05803474118725328,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.2616394264917721,-0.09384825347341558,-0.37799099693893223,-0.14225578287027427
DG_F3_082,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.0471102282612855,-0.14652759227923295,-0.1803501850303412,-0.05803474118725328,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.20738973056870244,-0.33742153537639463,-0.37799099693893223,-0.3745116680570843
DG_F3_085,-0.0025373157892147704,-6.087444556957764e-11,0.07936844620988859,-0.06634124750691278,-0.2211403172554097,0.12213654818902495,-0.05667593168481345,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,0.07108908726893795,-0.07718926388402873,-0.13092907858987826,0.09917900552348687,-0.1464301597085389,0.0650997771622198
DG_F3_088,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.2211403172554097,-0.14652759227923295,-0.10578847472441431,-0.15785196419314818,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.46881042637248993,-0.33742153537639463,-0.41641996116209773,-0.48250450469985406
DG_F3_090,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,0.063199524372641,-0.1341252727583476,-0.06177349230967029,-0.019993289457444118,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,0.05953452791072873,-0.3381000784705961,0.016598905876241507,-0.23189237496835985,0.00428136553616048
DG_F3_092,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.1341252727583476,-0.06177349230967029,0.02199768818424248,0.15856114658778084,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.3381000784705961,-0.21563489442490508,-0.18485912393170448,-0.010304308230704379
DG_F3_093,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.06634124750691278,0.003790309768078594,0.07255857792445865,0.08118064714984774,0.05874392358188598,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.07718926388402873,-0.05446842661105413,0.016598905876241507,0.041964980085582665,0.05974737944645271
DG_F3_094,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.06634124750691278,-0.1341252727583476,0.050265333596986726,0.044498004922478455,0.07391645025787633,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.07718926388402873,-0.20738973056870244,0.016598905876241507,-0.02515734628703597,0.07541442854967083
DG_F3_095,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.06634124750691278,0.05469084779744275,-0.06177349230967029,-0.0046145381171223965,0.10017181420321128,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.07718926388402873,-0.05446842661105413,-0.09384825347341558,-3.3153773796645137e-4,0.00428136553616048
DG_F3_096,-0.0025373157892147704,-6.087444556957764e-11,0.07936844620988859,0.015389879772510459,0.21393490522990075,0.09984330386155299,-0.2395331439959464,0.1999890372091061,-0.0025373157892147704,-6.087444556957764e-11,0.07108908726893795,0.009073844380392854,0.3376626170946271,0.09917900552348687,0.17825831052655963,0.20628452785288737
