Genotype,Replication,leaf_W1_Control,leaf_W1_Drought,leaf_W2_Control,leaf_W2_Drought,leaf_W3_Control,leaf_W3_Drought,leaf_W4_Control,leaf_W4_Drought,leaf_W5_Control,leaf_W5_Drought
DG_F3_225,3,0,0,1793.2455915725366,1616.9243771480524,5317.743282726295,3705.494129729643,14785.449256516074,8388.252666909197,23199.426903529577,12714.065548463504
DG_F3_227,3,0,0,3377.3729617411386,2524.7295068743474,9602.720637961565,5941.741922144395,24054.133810821088,9304.879756563789,27509.361869667715,10556.435726705877
DG_F3_230,3,0,0,1893.2579595209718,1336.3870286121185,6694.997207601857,3282.5936399300663,16191.152385065929,5031.534941355155,25683.71348332114,6888.231387830525
DG_F3_231,3,0,0,4896.954989812282,3643.374518582026,14673.068607460771,3256.9077349314284,36452.98285320267,5992.197346531749,54077.40886736292,8257.348443989948
DG_F3_232,3,0,0,2189.731545191451,3860.7140997101983,7589.921400957597,7229.563610880472,18963.42876867489,11422.673411623748,26163.56219303111,12525.699935846927
DG_F3_236,3,0,0,5356.621146909349,5406.409324216534,16659.77088617489,10077.352775270032,37270.322453495115,11392.627527041888,48222.8769065052,9516.700152711102
DG_F3_239,3,0,0,3587.811481364756,2682.326777631116,10294.938050124056,5198.680631738607,23837.160684008777,8262.185763993408,32426.09272565266,8668.717482790804
DG_F3_241,3,0,0,4588.832424237642,2698.4151288900393,9386.623159157241,4444.514088935797,19359.80951851454,8097.679078857562,30048.72474726172,10067.251721813227
DG_F3_245,3,0,0,4761.032021781191,5977.40476995994,12957.173325511232,9711.649705882968,21136.881885699007,13551.481700529943,32310.004606442035,12674.467372900446
DG_F3_246,3,0,0,4200.601756165866,3278.0344306445545,11344.736653396623,6066.65922833489,26620.73391182706,10277.380313594866,41720.03199142124,11935.976343601767
DG_F3_247,3,0,0,3324.88334139713,3317.2669898515696,9576.749696154347,3463.9911708626996,21461.046820206073,3392.132328862057,31736.350573426527,3574.9825479240644
DG_F3_248,3,0,0,1917.8155446718163,1513.0977352014054,4333.68625985438,2979.438489156122,12408.92984630058,6910.292268911093,24396.590485177843,9646.896147975755
DG_F3_249,3,0,0,5519.584219644582,5217.419495599303,19644.469329851418,5910.400785024467,40925.47394628096,7749.101333289154,62762.81512317604,8917.091126731919
DG_F3_250,3,0,0,4301.266952484073,2293.6095445618425,10503.274525728455,2725.898065702203,22791.82195606401,3671.3064524094293,36717.84810024767,5069.434321909928
DG_F3_255,3,0,0,4360.163737044895,2195.3837046726003,11321.269086594439,1478.1562468742854,30085.35043507429,2606.704321566698,47510.16074636002,3048.93969427147
DG_F3_257,3,0,0,4732.353068129036,3091.912892959229,13007.448568372927,4986.869825229771,26959.60009680935,7925.758745999206,45988.51369966628,8019.076692325369
DG_F3_263,3,0,0,5036.309589788012,3593.9417237323814,14557.037853829997,3508.9163313818735,30833.181712659505,4400.071795479107,48317.2013595865,5646.294398727681
DG_F3_266,3,0,0,2881.671755314429,2133.25330649638,8705.833436189514,3770.60166765515,20968.42409793228,4091.212238798498,35161.34841064701,4263.772021851113
DG_F3_269,3,0,0,3245.154666813596,4273.537162340582,10357.40172736594,7266.13025272108,22996.999238567623,8478.268331890138,35981.49724426997,9345.447241008744
DG_F3_270,3,0,0,4323.424114933249,3402.0531472137654,14907.456407493446,5496.2749629798755,32632.70110658174,7925.711506318264,49873.8475054285,8523.838343128713
DG_F3_271,3,0,0,4219.350219930852,2476.310379076629,14545.970497459442,4540.79912706157,24754.895963991865,5433.225380098206,43231.72399851611,6117.293595705864
DG_F3_273,3,0,0,5067.501434875989,2712.780786295288,14664.46842978442,5914.086557334769,29759.220959462695,8696.708787968,44038.27844555797,11081.547453464382
DG_F3_274,3,0,0,8713.180626873136,5319.281773178445,23282.117214600785,10337.517564639471,49761.48706182874,14635.44566243375,81305.5192738703,14747.375236179416
DG_F3_276,3,0,0,4702.815812333849,2558.8418332220954,13680.840008476085,6529.768764215997,28858.18989005886,12869.692614973203,45042.30542980493,12740.07357201726
DG_F3_280,3,0,0,5497.741555803529,4375.687168593218,18942.30640177497,9791.0322577891,36279.20999524995,15169.759014095232,57137.80923189153,15108.714361487735
DG_F3_283,3,0,0,1255.959165159344,2743.7655766738085,4890.2300728167575,4381.743455287552,11441.405488834573,6452.89810142968,19056.405498612396,7266.186993744391
DG_F3_285,3,0,0,7802.730749574951,5065.974628297074,21021.325544676954,9591.239530066237,46162.80953972453,12474.797312188146,70905.0084101309,12269.853389418387
DG_F3_286,3,0,0,4441.034886919432,5652.898021794228,14287.980124510146,10060.770807659836,22845.770635317636,13906.008978835964,31749.201696971086,14084.086691281973
DG_F3_287,3,0,0,1953.4515098791892,3317.686048573474,8659.998187006371,7381.43798185489,16973.95657342988,11114.358654344462,22121.52688892593,13267.699675869373
DG_F3_292,3,0,0,5485.699054115252,2891.801382770567,15663.73391204685,6649.265504632194,35715.86923233343,7952.212370305089,65381.017306917034,10055.196337569028
DG_F3_293,3,0,0,1834.2771671984035,2262.195144389977,6588.668183469684,4309.412283629929,17256.336750216335,9048.249008205556,35156.90471066912,12982.707957038134
DG_F3_294,3,0,0,2642.1476347233333,2429.169102567579,7879.008573432588,5497.447109867013,18760.73206699661,8038.650854125899,25683.48315097238,7916.914007623802
DG_F3_297,3,0,0,5844.396667279903,4764.60090322505,18149.34857734206,7944.52504594935,38008.9305774758,10338.776072229315,56654.10198809354,9587.241127869253
DG_F3_298,3,0,0,4826.0987481675,4124.965117705407,16205.531089244503,7704.831789566174,35666.23287919146,10460.826890421295,51372.95622769319,11227.454325532593
DG_F3_299,3,0,0,3441.3153702455606,3705.718273317815,9529.429738624845,8555.900176960044,24048.926882130167,9392.778683227023,42462.54262300646,10832.300368981498
DG_F3_300,3,0,0,2920.9727746132226,2492.3658030552274,10135.528319752102,4981.402131011612,25772.42923190782,9722.080986727584,42584.472278244946,10213.580962216047
DG_F3_302,3,0,0,3865.483120798413,2880.40485022126,13214.20769680248,6015.352528954113,30697.878357302005,9380.79951932807,53002.97880744726,10336.375187425336
DG_F3_304,3,0,0,3710.3567494187864,3240.9049861775834,9295.411499928,3165.1985077987033,20793.40903452588,4428.162694266914,34654.57799234115,5323.613157717153
DG_F3_305,3,0,0,4312.570540452842,3326.8470125071044,11311.978225053885,6206.357468883409,26167.665672443996,8366.572126048706,42731.33858019484,7902.8348309962585
