Genotype,Replication,drymass_shoot_Control,drymass_shoot_Drought,drymass_root_Control,drymass_root_Drought
DG_F3_523,2,1.71,0.6299999999999999,0.4900000000000002,0.2600000000000007
DG_F3_524,2,1.8100000000000005,0.7599999999999998,0.3899999999999997,0.3600000000000003
DG_F3_525,2,2.2600000000000007,0.5199999999999996,0.5600000000000005,0.27999999999999936
DG_F3_527,2,1.33,0.4800000000000004,0.3700000000000001,0.14000000000000057
DG_F3_532,2,1.6900000000000004,0.5500000000000007,0.5500000000000007,0.29000000000000004
DG_F3_534,2,3.5199999999999996,0.6200000000000001,0.6700000000000008,0.14999999999999947
DG_F3_536,2,2.0300000000000002,0.6899999999999995,0.580000000000001,0.17999999999999972
DG_F3_538,2,1.3100000000000005,0.5900000000000007,0.4500000000000002,0.28000000000000025
DG_F3_540,2,1.3900000000000006,0.6699999999999999,0.5400000000000009,0.16000000000000014
DG_F3_543,2,1.6899999999999995,0.5300000000000002,0.5,0.1900000000000004
DG_F3_544,2,2.379999999999999,0.5800000000000001,0.7400000000000002,0.1900000000000004
DG_F3_545,2,2.08,0.8799999999999999,0.6799999999999997,0.28000000000000025
DG_F3_546,2,1.6500000000000004,0.7999999999999998,0.4900000000000002,0.23000000000000043
DG_F3_547,2,1.9799999999999995,0.7799999999999994,0.5600000000000005,0.25
DG_F3_548,2,2.92,0.7199999999999998,0.6299999999999999,0.21999999999999975
DG_F3_549,2,2.88,0.79,0.7400000000000002,0.2600000000000007
DG_F3_550,2,2.04,0.54,0.4900000000000002,0.16000000000000014
DG_F3_551,2,1.3100000000000005,0.75,0.3899999999999997,0.3200000000000003
DG_F3_556,2,1.5100000000000007,0.96,0.4300000000000006,0.27000000000000046
DG_F3_561,2,1.2000000000000002,0.7000000000000002,0.2999999999999998,0.25
DG_F3_562,2,0.5200000000000005,0.5300000000000002,0.27999999999999936,0.1899999999999995
DG_F3_563,2,0.4300000000000006,0.4800000000000004,0.16000000000000014,0.1299999999999999
DG_F3_565,2,1.4100000000000001,0.3700000000000001,0.3700000000000001,0.14999999999999947
DG_F3_566,2,2.6899999999999995,1.1099999999999994,0.6699999999999999,0.29000000000000004
DG_F3_568,2,2.1500000000000004,0.3700000000000001,0.4899999999999993,0.20000000000000018
DG_F3_573,2,3.0199999999999996,0.7299999999999995,0.9100000000000001,0.22000000000000064
DG_F3_581,2,1.0499999999999998,0.39999999999999947,0.3100000000000005,0.09999999999999964
DG_F3_582,2,1.5100000000000007,0.6500000000000004,0.5900000000000007,0.21999999999999975
DG_F3_585,2,1.2699999999999996,0.6799999999999997,0.3000000000000007,0.17999999999999972
DG_F3_589,2,1.8999999999999995,0.9700000000000006,0.5100000000000007,0.27000000000000046
DG_F3_592,2,1.9299999999999997,0.45999999999999996,0.6100000000000003,0.11000000000000032
DG_F3_594,2,2.1899999999999995,0.2599999999999998,0.7600000000000007,0.15000000000000036
DG_F3_595,2,0.22999999999999954,0.8899999999999997,0.10000000000000053,0.34000000000000075
DG_F3_598,2,1.0999999999999996,0.8700000000000001,0.3100000000000005,0.3200000000000003
DG_F3_602,2,1.4400000000000004,0.5099999999999998,0.5100000000000007,0.2500000000000009
DG_F3_604,2,2.0199999999999996,0.5599999999999996,0.4900000000000002,0.2400000000000002
DG_F3_606,2,1.8899999999999997,0.5700000000000003,0.6600000000000001,0.29000000000000004
DG_F3_607,2,1.6499999999999995,0.5600000000000005,0.5899999999999999,0.23999999999999932
DG_F3_608,2,1.7199999999999998,0.6499999999999995,0.46999999999999975,0.28000000000000025
DG_F3_609,2,2.2800000000000002,0.7800000000000002,0.54,0.27000000000000046
DG_F3_610,2,1.71,0.6100000000000003,0.5499999999999998,0.29000000000000004
DG_F3_611,2,2.3099999999999996,1.2699999999999996,0.5199999999999996,0.3200000000000003
DG_F3_612,2,1.7999999999999998,0.6000000000000005,0.4500000000000002,0.22000000000000064
DG_F3_613,2,2.1100000000000003,0.21999999999999975,0.6400000000000006,0.15000000000000036
DG_F3_614,2,1.9700000000000006,0.9300000000000006,0.6699999999999999,0.33000000000000007
DG_F3_617,2,1.0999999999999996,0.2999999999999998,0.27000000000000046,0.09999999999999964
DG_F3_618,2,1.5499999999999998,0.7199999999999998,0.5899999999999999,0.20999999999999996
DG_F3_619,2,1.3399999999999999,0.7399999999999993,0.4399999999999995,0.29000000000000004
DG_F3_620,2,1.7199999999999998,0.40000000000000036,0.5900000000000007,0.3200000000000003
DG_F3_621,2,2.26,0.9199999999999999,0.7800000000000002,0.40000000000000036
DG_F3_624,2,1.8399999999999999,0.5700000000000003,0.5099999999999998,0.25
DG_F3_628,2,2,0.8300000000000001,0.580000000000001,0.2400000000000002
DG_F3_630,2,2.6000000000000005,0.6399999999999997,0.5700000000000003,0.3200000000000003
DG_F3_632,2,1.5099999999999998,0.6899999999999995,0.4500000000000002,0.34999999999999964
DG_F3_633,2,1.8099999999999996,0.5500000000000007,0.4900000000000002,0.4800000000000004
DG_F3_634,2,2.4099999999999993,0.8899999999999997,0.6300000000000008,0.4400000000000004
DG_F3_635,2,2.26,0.6299999999999999,0.9399999999999995,0.33999999999999986
DG_F3_636,2,1.7800000000000002,0.5999999999999996,0.6299999999999999,0.3600000000000003
DG_F3_638,2,1.2199999999999998,0.7400000000000002,0.46999999999999975,0.4399999999999995
DG_F3_639,2,1.71,0.45999999999999996,0.47000000000000064,0.2599999999999998
DG_F3_640,2,2.0600000000000005,1.0200000000000005,0.7699999999999996,0.34999999999999964
DG_F3_641,2,1.5500000000000007,0.7700000000000005,0.4300000000000006,0.33999999999999986
DG_F3_642,2,0.6699999999999999,0.5300000000000002,0.2999999999999998,0.22000000000000064
DG_F3_643,2,2.5600000000000005,0.6299999999999999,0.7400000000000002,0.28000000000000025
DG_F3_644,2,0.9300000000000006,0.5300000000000002,0.4200000000000008,0.2500000000000009
DG_F3_004,3,2.67,0.9699999999999998,0.8600000000000003,0.6400000000000006
DG_F3_007,3,3.209999999999999,1.5099999999999998,1.0599999999999996,0.7000000000000002
DG_F3_008,3,1.3899999999999997,0.46999999999999975,0.5,0.4200000000000008
DG_F3_009,3,3.990000000000001,0.9199999999999999,1.2000000000000002,0.54
DG_F3_011,3,2.99,1.1500000000000004,0.7400000000000002,0.5199999999999996
DG_F3_013,3,2.4299999999999997,0.4299999999999997,0.6100000000000003,0.41000000000000014
DG_F3_015,3,2.4499999999999993,0.7800000000000002,0.6500000000000004,0.5099999999999998
DG_F3_017,3,3.0299999999999994,1.1600000000000001,0.7200000000000006,0.5999999999999996
DG_F3_019,3,1.9099999999999993,0.96,0.6100000000000003,0.5500000000000007
DG_F3_020,3,2.46,1.1500000000000004,0.6000000000000005,0.4500000000000002
DG_F3_022,3,2.46,0.7999999999999998,0.6200000000000001,0.46999999999999975
DG_F3_024,3,4.220000000000001,1.1900000000000004,0.8100000000000005,0.4500000000000002
DG_F3_028,3,1.75,0.8500000000000005,0.5,0.4500000000000002
DG_F3_032,3,2.579999999999999,0.8099999999999996,0.6400000000000006,0.45999999999999996
DG_F3_033,3,3.369999999999999,0.71,0.7600000000000007,0.3899999999999997
DG_F3_038,3,1.9899999999999993,0.8200000000000003,0.6399999999999997,0.5099999999999998
DG_F3_040,3,1.46,0.7000000000000002,0.5500000000000007,0.47999999999999954
DG_F3_042,3,2.209999999999999,0.5800000000000001,0.6100000000000003,0.45999999999999996
DG_F3_049,3,1.17,0.6699999999999999,0.47000000000000064,0.4500000000000002
DG_F3_051,3,2.1799999999999997,0.8399999999999999,0.6200000000000001,0.5300000000000002
DG_F3_054,3,2.6000000000000005,1.12,0.6600000000000001,0.6300000000000008
DG_F3_056,3,2.869999999999999,1.08,0.6699999999999999,0.4900000000000002
DG_F3_057,3,1.8899999999999997,1.0899999999999999,0.6299999999999999,0.5199999999999996
DG_F3_059,3,2,0.8100000000000005,0.6699999999999999,0.5499999999999998
DG_F3_063,3,0.8499999999999996,0.6599999999999993,0.46999999999999975,0.4900000000000002
DG_F3_066,3,4.3500000000000005,1.0900000000000007,0.8700000000000001,0.5
DG_F3_068,3,1.67,0.7700000000000005,0.5699999999999994,0.46000000000000085
DG_F3_069,3,2.95,0.9500000000000002,0.8100000000000005,0.5
DG_F3_070,3,2.0999999999999996,1.33,0.7400000000000002,0.5300000000000002
DG_F3_075,3,3.5600000000000005,1.2799999999999994,0.79,0.5999999999999996
DG_F3_076,3,3.710000000000001,1.1399999999999997,0.9900000000000002,0.6399999999999997
DG_F3_077,3,3.3499999999999996,1.25,0.8700000000000001,0.5600000000000005
DG_F3_081,3,2.5200000000000005,0.9900000000000002,0.7400000000000002,0.54
DG_F3_082,3,1.42,0.75,0.5500000000000007,0.3600000000000003
DG_F3_085,3,1.8099999999999996,0.79,0.54,0.41999999999999993
DG_F3_088,3,3.0200000000000005,0.7000000000000002,0.9300000000000006,0.4300000000000006
DG_F3_090,3,3.2800000000000002,1.0699999999999994,0.8900000000000006,0.6699999999999999
DG_F3_092,3,1.75,0.8500000000000005,0.5899999999999999,0.6200000000000001
DG_F3_093,3,2.08,0.5700000000000003,0.7600000000000007,0.54
DG_F3_094,3,2.249999999999999,1.1799999999999997,0.6799999999999997,0.5800000000000001
DG_F3_095,3,1.7199999999999998,0.9899999999999993,0.5700000000000003,0.5999999999999996
