Genotype,Control_w_2,Drought_w_2,Control_w_3,Drought_w_3,Control_w_4,Drought_w_4,Control_w_5,Drought_w_5
DG_F3_246,-174.77991018089045,-211.46194061041192,-636.8172781990202,-255.89920144546974,-93.38544785658203,-341.7184378701398,2706.237414132789,-309.3995373073515
DG_F3_247,-530.1966503057639,-243.39814082554628,-2069.68740828638,-1050.4691203208401,-5071.453203938187,-759.9617471876771,-8529.108474726238,-828.9759137396221
DG_F3_248,-569.2270478931047,-134.0002676043345,-1460.4900795279427,-634.9695206164054,-4629.668570901834,-55.380980642415615,-5724.483840978626,93.53142244646575
DG_F3_249,-425.98421755561213,112.067645114809,127.12758353730504,-55.136184465277054,1994.9804296758869,57.02913079086771,7439.689252101573,276.2045897123828
DG_F3_250,-122.91939462816843,-178.110991339705,-422.8236619597043,-510.0124980986523,538.6109772847874,-636.1528390311354,3529.033465293969,-512.0923613345883
DG_F3_255,165.0290397381639,-400.3856815078559,-184.71243368329937,-1126.2036681117718,1205.3469178344951,-482.506206972767,4469.474499805461,-558.7453309679731
DG_F3_257,610.9412823076918,-39.65148285584423,2840.4281413341278,281.8907922280362,6152.270806640073,107.03123430605656,10295.388544802385,13.064639017025048
DG_F3_263,18.760256560736696,24.064826324842816,426.46684077612963,588.1357218571161,3439.7001827212152,223.77758172965449,6737.76509234913,112.13281694637402
DG_F3_266,657.306738470329,-220.88459358418908,1579.2366261019376,110.3044875144837,3438.160081719943,-319.0379871303387,4984.659874606842,-660.2251004431525
DG_F3_269,-698.958547774185,-103.97991386093192,-1915.2806236080578,-227.2596904630246,-4216.038317712508,-334.9889882345943,-7874.229892244462,-453.89230403357055
DG_F3_270,-319.69304800480063,-329.479556348837,-437.074965468557,-986.6567971287932,74.66538021475282,-600.988949359718,346.6761807512373,-536.0697895907871
DG_F3_271,-530.2103161353444,-132.70125876692242,-911.1090639623084,-482.85672268050064,-2520.1360520622457,-545.3094789554741,-290.80732503227057,-704.1628338160681
DG_F3_273,986.2218858517834,-239.0331592997201,2342.226970227606,-568.6590811993676,4093.2462663414703,-464.4851725962207,5233.862911142748,-444.9022886076615
DG_F3_274,619.0714363964786,-297.01812166565804,2551.0937113426826,-551.7619577420475,7444.425827081932,-294.12944566580137,14727.092181370865,-226.6664130674157
DG_F3_276,-141.48955984852677,-129.8441819566227,-382.195814295805,192.9744194463594,824.7924087749298,349.9094637996608,2355.32263763783,24.34175076662109
DG_F3_280,-30.339349603077245,107.95087101578565,1409.7057940143625,1358.5503596264746,4591.894653888268,1069.8972932272932,9050.913957107792,488.22308978375224
DG_F3_283,-1031.7532061296708,-279.1809054822387,-2705.4815677528304,-587.8152454044922,-7277.191987959998,-378.77914182267824,-10605.014633295837,-635.1789619623441
DG_F3_285,797.5788062408471,299.5930997817758,3364.8438468882787,1642.5915347827856,6783.3920048508735,585.2882124261278,5692.051951182245,372.4493905480676
DG_F3_286,-16.16205747772078,162.97567615712842,366.25685935475536,282.1308069959975,-303.0353791645888,623.3527808063417,-1434.9874973820426,309.9366392186542
DG_F3_287,-791.4662884734154,-12.660749799530073,-2926.908169842332,-198.29905227767918,-8163.973339423828,18.33604580941634,-14810.142354242744,-38.18369438659653
DG_F3_292,640.9917584804388,-161.1191313771598,3747.444520125187,-76.10006603844205,10757.951385319913,183.59202583284534,16649.077496097736,-13.795062773580687
DG_F3_293,-205.3071586785315,-445.5030332620121,761.581553799262,-868.7478616720697,4975.081491944474,-281.92988729860537,8340.631416016893,475.36987635017505
DG_F3_294,-401.39534486898106,-341.1761059771921,-1038.2569626169993,-336.1844415049834,-1712.983451704905,167.60202859002248,-3042.6587988904203,261.44759311499763
DG_F3_297,933.8279099288816,309.7215698319732,3947.270674557812,712.6673173595655,10219.914606780385,163.87967118464258,15712.0226426795,791.5888183732627
DG_F3_298,823.7625688242435,-169.146165619722,3810.3527610418623,-403.7486872963008,10121.065616016049,-18.792681903110804,12714.51161045648,-269.07553712891183
DG_F3_299,-459.39688549085287,-187.4864292126876,-658.4192500861049,-367.4856872823846,-498.14496061863156,-328.840335312212,964.727969003242,-372.38564023021297
DG_F3_300,-987.6511454679086,-414.12139637681446,-2381.3356835767318,-1130.9120991942211,-4024.5567352560956,-669.7387300110614,-3521.987692657791,-648.2074914133539
DG_F3_302,-790.219749907985,-311.10198815052564,-1660.0271645133587,-383.9743461160354,-2037.5683518032645,-248.55642462010366,-1042.9366093619342,-386.93970958977417
DG_F3_304,-497.48551527794297,-162.42302212108828,-1647.128964842144,-703.6429704596179,-2328.882437677565,-626.4876897322574,-3898.075098556568,-742.3814590368476
DG_F3_305,-701.5314890550809,-424.91328579450527,-2364.6629054466503,-1040.2193665485484,-5145.179344426215,-405.8299576256594,-3571.6732008860135,-495.6023943671053
DG_F3_307,-330.3625540502876,-108.98663051244789,-879.5451775830228,-15.670255241209242,885.669422154614,-150.54423419016467,-1218.7028703379035,-209.49513162798334
DG_F3_309,507.99652838728264,-25.33597582063499,1028.3630449689285,247.20149222010787,801.7005769058039,-86.67528315932196,-931.7534356858497,-363.19545063657864
DG_F3_312,-1158.73228559859,-494.57960331957315,-3363.2808890789997,-1342.0095040867923,-6642.882844479213,-786.655772882447,-10483.436050683236,-877.5950795413148
DG_F3_315,-252.55927077319583,-395.43361791465526,-1019.9739804424141,-888.0458593835391,-2746.590256799227,-349.34110568787924,-4731.435941773771,-189.5470388907874
DG_F3_316,62.26792357759147,-210.80618282383165,977.3758136891538,5.778256148585467,1690.538642394919,-104.05948881166177,5850.845603567183,-205.75996250822797
DG_F3_317,-1371.774650061396,-599.069470230018,-4788.597030741441,-1767.2473344351854,-10757.570071066748,-1178.0067891275628,-13628.58166731814,-886.0019088175892
DG_F3_318,-448.98132256268747,-47.54739714244314,-537.2265752215138,893.0767318695562,-1086.48634199857,437.5234178552282,-589.0344866632184,149.8178477042829
DG_F3_324,85.93685517240316,-125.52568702635696,770.0738135745663,-255.70515812432336,2095.3484234427224,-534.610546987993,2810.783627931482,-601.7137841516587
DG_F3_325,133.8030685615059,89.87621791328824,802.621862806987,703.6717033913425,3279.121953589761,-52.05894659737141,4183.669594189008,-163.07793290927896
DG_F3_328,-767.4395308175676,-374.71184325334934,-989.6552518874468,-517.2781123243448,606.3293636450308,-42.54294890286395,3047.28568144414,-23.642906556433704
DG_F3_329,359.99691403925914,-152.00824660293603,1152.2000992029496,206.14332029902369,5124.873297764136,447.3714579415267,10537.487021189861,385.79414697991615
DG_F3_330,-278.2636533195452,-237.27131357550286,-259.4498402597393,158.28945756109204,552.459310019752,106.88484594266326,1285.222409565195,-81.50009633912317
DG_F3_331,-378.3474295313833,-264.2197663108779,-406.76125800852924,-657.1059026916495,250.11569287573985,-320.16471173914175,2616.662877965191,-299.350526355209
DG_F3_332,-329.5129173103307,-152.29077031059188,-144.96273474115972,238.0741419086614,745.8210571244991,323.89708420713896,4960.004488690596,438.2569892253653
DG_F3_333,-681.0640683964348,-266.2448172950698,-2203.121410941986,-147.0762612558664,-3693.3668734605585,-241.93944642389152,-5173.514927909351,-278.8476508674721
DG_F3_334,-1045.1311951350237,-330.3041431501777,-2746.6990272385538,-800.9906113753124,-4478.279599429138,-718.4283304754692,-5508.698978529135,-660.2017330745249
DG_F3_335,-34.76654771046277,-33.91235897902911,-631.2568950317133,149.25524783706484,-2413.7497697578247,-161.30192489877837,-4481.980867543659,-285.79230467281377
DG_F3_336,-744.8695387302043,-388.2762266847443,-2570.550680214701,-760.0238564351666,-3963.0249018705435,-641.4545036272376,-6273.944868358864,-668.3007743181548
DG_F3_337,-199.48941544380364,-119.48823230059253,-6.145797997120361,310.1813680327926,1675.4896636775384,32.816381525597244,3751.46647912575,-193.569341619071
DG_F3_338,-502.0225228506609,-388.64123870765627,-1459.704928212607,-114.3679202687565,-4388.887637756085,-72.16290188154994,-4103.104444797217,-233.1078346985769
DG_F3_342,-707.8094586512607,-249.89920838070591,-2664.3127270604655,-356.9794331257811,-6580.120100045835,-359.20529380681313,-9896.071622267737,-441.49093738472305
DG_F3_344,-524.3218759654079,-164.59876587260817,-1984.9676011280749,-731.6133030581915,-3513.335906497305,-739.8225196259426,-3608.0389448850283,-858.2828121846328
DG_F3_345,-74.51354991635023,273.17630126505765,-131.12270953833968,818.6501077518542,1757.3811395606779,46.01040617825418,5629.655357929054,-178.20255249563868
DG_F3_346,-105.52636753452434,-64.05267869226734,-559.185787197533,-421.07939283246446,-592.1865010282118,-464.6173279516124,99.13065843642872,-531.735454276378
DG_F3_349,404.4537280381885,44.529501328042024,1263.541723068036,-751.9148340236234,5510.414646146272,-592.8169025556691,8356.16618133706,-597.6443576513435
DG_F3_351,844.4743639358824,60.36473272146073,1410.5263269091313,197.69713285064057,2055.3282540050486,67.88788521859712,239.48306066857091,17.912639054610175
