Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000409	0	16	0	16
OG0000410	0	3	13	16
OG0000411	0	2	14	16
OG0000412	0	2	14	16
OG0000413	0	2	14	16
OG0000414	0	2	14	16
OG0000415	0	14	2	16
OG0000416	0	16	0	16
OG0000417	0	0	16	16
OG0000418	0	0	16	16
OG0000419	0	0	16	16
OG0000420	0	0	16	16
OG0000421	0	0	16	16
OG0000422	3	6	6	15
OG0000423	5	5	5	15
OG0000424	15	0	0	15
OG0000425	3	7	5	15
OG0000426	15	0	0	15
OG0000427	15	0	0	15
OG0000428	9	3	3	15
OG0000429	5	5	5	15
OG0000430	15	0	0	15
OG0000431	5	5	5	15
OG0000432	2	7	6	15
OG0000433	2	8	5	15
OG0000434	4	6	5	15
OG0000435	1	5	9	15
OG0000436	1	7	7	15
OG0000437	2	6	7	15
OG0000438	0	15	0	15
OG0000439	0	3	12	15
OG0000440	0	13	2	15
OG0000441	0	12	3	15
OG0000442	0	7	8	15
OG0000443	0	15	0	15
OG0000444	0	9	6	15
OG0000445	0	15	0	15
OG0000446	0	13	2	15
OG0000447	0	3	12	15
OG0000448	0	11	4	15
OG0000449	0	14	1	15
OG0000450	0	14	1	15
OG0000451	0	2	13	15
OG0000452	0	6	9	15
OG0000453	0	9	6	15
OG0000454	0	15	0	15
OG0000455	0	13	2	15
OG0000456	0	6	9	15
OG0000457	0	12	3	15
OG0000458	0	3	12	15
OG0000459	0	1	14	15
OG0000460	0	13	2	15
OG0000461	0	8	7	15
OG0000462	0	1	14	15
OG0000463	0	1	14	15
OG0000464	0	1	14	15
OG0000465	0	14	1	15
OG0000466	0	1	14	15
OG0000467	0	0	15	15
OG0000468	0	0	15	15
OG0000469	0	0	15	15
OG0000470	14	0	0	14
OG0000471	2	5	7	14
OG0000472	14	0	0	14
OG0000473	14	0	0	14
OG0000474	1	6	7	14
OG0000475	14	0	0	14
OG0000476	6	4	4	14
OG0000477	14	0	0	14
OG0000478	14	0	0	14
OG0000479	14	0	0	14
OG0000480	14	0	0	14
OG0000481	6	4	4	14
OG0000482	11	1	2	14
OG0000483	6	3	5	14
OG0000484	3	5	6	14
OG0000485	7	3	4	14
OG0000486	12	1	1	14
OG0000487	14	0	0	14
OG0000488	2	5	7	14
OG0000489	4	4	6	14
OG0000490	14	0	0	14
OG0000491	4	5	5	14
OG0000492	6	4	4	14
OG0000493	2	4	8	14
OG0000494	4	8	2	14
OG0000495	1	6	7	14
OG0000496	1	7	6	14
OG0000497	6	4	4	14
OG0000498	4	5	5	14
OG0000499	14	0	0	14
OG0000500	2	8	4	14
OG0000501	1	7	6	14
OG0000502	2	6	6	14
OG0000503	2	6	6	14
OG0000504	1	6	7	14
